country,URL,code,approved
North America,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_America,North_America,FALSE
North Asia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Asia,North_Asia,FALSE
North Korea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Korea,PRK,TRUE
North Macedonia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Macedonia,MKD,TRUE
Northern Cyprus,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Northern_Cyprus,CYP,TRUE
Oceania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oceania,OCEANIA,FALSE
Oman,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oman,OMN,TRUE
Pakistan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Pakistan,PAK,TRUE
Paraguay,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Paraguay,PRY,TRUE
the Bicol Region,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Bicol_Region,PHL-05,FALSE
the Cordillera Administrative Region,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Cordillera_Administrative_Region,PHL-15,FALSE
the Davao Region,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Davao_Region,PHL-11,FALSE
Western Visayas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Western_Visayas,PHL-06,FALSE
Bangsamoro,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bangsamoro,PHL-14,FALSE
Cagayan Valley,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cagayan_Valley,PHL-02,FALSE
Calabarzon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Calabarzon,PHL-40,FALSE
Central Luzon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Central_Luzon,PHL-03,FALSE
Central Visayas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Central_Visayas,PHL-07,FALSE
Metro Manila,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Metro_Manila,PHL-Metro_Manila,FALSE
Qatar,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Qatar,QAT,TRUE
the Republic of Artsakh,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Republic_of_Artsakh,ARM-the_Republic_of_Artsakh,FALSE
Réunion,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Réunion,FRA-Reunion,FALSE
Romania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Romania,ROU,TRUE
Asturias,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Asturias,ESP-AS,FALSE
Saint Barthélemy,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Barthélemy,FRA-BL,FALSE
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Kitts_and_Nevis,KNA,TRUE
Saint Lucia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Lucia,LCA,TRUE
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Vincent_and_the_Grenadines,VCT,TRUE
Saudi Arabia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saudi_Arabia,SAU,TRUE
Serbia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Serbia,SRB,TRUE
Sevastopol,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sevastopol,UKR-Sevastopol,FALSE
Singapore,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Singapore,SGP,TRUE
South America,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_America,South_America,FALSE
South Asia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Asia,South_Asia,FALSE
South Korea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Korea,KOR,TRUE
Spain,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Spain,ESP,TRUE
Ceuta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ceuta,ESP-Ceuta,FALSE
the Community of Madrid,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Community_of_Madrid,ESP-Melilla,FALSE
Melilla,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Melilla,ESP-Sri Lanka,FALSE
Sri Lanka,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sri_Lanka,LKA,TRUE
the State of Palestine,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_State_of_Palestine,PSE,TRUE
Suriname,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Suriname,SUR,TRUE
Tajikistan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tajikistan,TJK,TRUE
Thailand,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Thailand,THA,TRUE
Nonthaburi Province,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nonthaburi_Province,THA-12,FALSE
the Bahamas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Bahamas,BHS,TRUE
the Maldives,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Maldives,MDV,TRUE
the Philippines,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Philippines,PHL,TRUE
the Republic of Ireland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Republic_of_Ireland,IRL,TRUE
Trinidad and Tobago,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Trinidad_and_Tobago,TTO,TRUE
Tunisia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tunisia,TUN,TRUE
Turkey,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Turkey,TUR,TRUE
Turkmenistan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Turkmenistan,TKM,TRUE
the United Arab Emirates,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Arab_Emirates,ARE,TRUE
Jersey,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Jersey,JEY,FALSE
the United States,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States,USA,TRUE
Indiana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Indiana,USA-IN,TRUE
Utah,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Utah,USA-UT,TRUE
Vermont,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Vermont,USA-VT,TRUE
Uruguay,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uruguay,URY,TRUE
Venezuela,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Venezuela,VEN,TRUE
Africa,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Africa,Africa,FALSE
Europe,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Europe,Europe,FALSE
Afghanistan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Afghanistan,AFG,TRUE
Albania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Albania,ALB,TRUE
Algeria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Algeria,DZA,TRUE
Andorra,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Andorra,AND,TRUE
Angola,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Angola,AGO,TRUE
Anguilla,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Anguilla,AIA,TRUE
Antarctica,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Antarctica,ATA,TRUE
Antigua and Barbuda,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Antigua_and_Barbuda,ATG,TRUE
Argentina,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Argentina,ARG,TRUE
Armenia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Armenia,ARM,TRUE
Australia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Australia,AUS,TRUE
Austria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Austria,AUT,TRUE
Azerbaijan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Azerbaijan,AZE,TRUE
Bahrain,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bahrain,BHR,TRUE
Bangladesh,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bangladesh,BGD,TRUE
Barbados,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Barbados,BRB,TRUE
Belarus,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Belarus,BLR,TRUE
Belize,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Belize,BLZ,TRUE
Benin,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Benin,BEN,TRUE
Bhutan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bhutan,BTN,TRUE
Bolivia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bolivia,BOL,TRUE
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bosnia_and_Herzegovina,BIH,TRUE
Botswana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Botswana,BWA,TRUE
Brazil,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Brazil,BRA,TRUE
Brunei,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Brunei,BRN,TRUE
Bulgaria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bulgaria,BGR,TRUE
Burkina Faso,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Burkina_Faso,BFA,TRUE
Burundi,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Burundi,BDI,TRUE
Cameroon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cameroon,CMR,TRUE
Cape Verde,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cape_Verde,CPV,TRUE
Chad,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Chad,TCD,TRUE
Colombia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Colombia,COL,TRUE
Cuba,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cuba,CUB,TRUE
Cyprus,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cyprus,CYP,TRUE
Djibouti,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Djibouti,DJI,TRUE
Dominica,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Dominica,DMA,TRUE
Ecuador,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ecuador,ECU,TRUE
Egypt,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Egypt,EGY,TRUE
El Salvador,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_El_Salvador,SLV,TRUE
Equatorial Guinea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Equatorial_Guinea,GNQ,TRUE
Eritrea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Eritrea,ERI,TRUE
Estonia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Estonia,EST,TRUE
Ethiopia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ethiopia,ETH,TRUE
Finland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Finland,FIN,TRUE
France,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_France,FRA,TRUE
French Guiana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_French_Guiana,GUF,TRUE
French Polynesia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_French_Polynesia,PYF,TRUE
Gabon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Gabon,GAB,TRUE
Ghana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ghana,GHA,TRUE
Greenland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Greenland,DEN-GR,TRUE
Guadeloupe,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guadeloupe,FRA-GU,TRUE
Guam,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guam,USA-GU,TRUE
Guinea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guinea,GIN,TRUE
Guinea-Bissau,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guinea-Bissau,GNB,TRUE
Iceland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iceland,ISL,TRUE
Israel,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Israel,ISR,TRUE
Japan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Japan,JPN,TRUE
Kenya,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kenya,KEN,TRUE
Kyrgyzstan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kyrgyzstan,KGZ,TRUE
Laos,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Laos,LAO,TRUE
Latvia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Latvia,LVA,TRUE
Lebanon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lebanon,LBN,TRUE
Liberia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Liberia,LBR,TRUE
Libya,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Libya,LBY,TRUE
Liechtenstein,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Liechtenstein,LIE,TRUE
Lithuania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lithuania,LTU,TRUE
Luxembourg,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Luxembourg,LUX,TRUE
Madagascar,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Madagascar,MDG,TRUE
Malawi,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Malawi,MWI,TRUE
Mali,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mali,MLI,TRUE
Martinique,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Martinique,FRA-MA,TRUE
Mauritania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mauritania,MRT,TRUE
Mauritius,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mauritius,MUS,TRUE
Mayotte,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mayotte,FRA-MA,TRUE
Moldova,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Moldova,MDA,TRUE
Monaco,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Monaco,MCO,TRUE
Mongolia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mongolia,MNG,TRUE
Montenegro,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Montenegro,MNE,TRUE
Morocco,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Morocco,MAR,TRUE
Mozambique,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mozambique,MOZ,TRUE
Namibia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Namibia,NAM,TRUE
New Caledonia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Caledonia,FRA-NC,TRUE
New Zealand,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Zealand,NZL,TRUE
Niger,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Niger,NER,TRUE
Nigeria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nigeria,NGA,TRUE
Norway,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Norway,NOR,TRUE
Panama,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Panama,PAN,TRUE
Papua New Guinea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Papua_New_Guinea,PNG,TRUE
Peru,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Peru,PER,TRUE
Poland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Poland,POL,TRUE
Portugal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Portugal,PRT,TRUE
Puerto Rico,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Puerto_Rico,USA-PR,TRUE
Russia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Russia,RUS,TRUE
Rwanda,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Rwanda,RWA,TRUE
Saint Helena,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Helena,SHN,TRUE
Saint Pierre and Miquelon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saint_Pierre_and_Miquelon,SPM,TRUE
San Marino,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_San_Marino,SMR,TRUE
Senegal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Senegal,SEN,TRUE
Seychelles,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Seychelles,SYC,TRUE
Sierra Leone,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sierra_Leone,SLE,TRUE
Slovakia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Slovakia,SVK,TRUE
Slovenia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Slovenia,SVN,TRUE
Somalia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Somalia,SOM,TRUE
South Africa,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Africa,ZAF,TRUE
Sudan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sudan,SDN,TRUE
Sweden,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sweden,SWE,TRUE
Switzerland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Switzerland,CHE,TRUE
Syria,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Syria,SYR,TRUE
Sao Tome and Principe,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_São_Tomé_and_Príncipe,STP,FALSE
Taiwan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Taiwan,TWN,TRUE
Tanzania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tanzania,TZA,TRUE
Togo,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Togo,TGO,TRUE
Uganda,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uganda,UGA,TRUE
Uzbekistan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uzbekistan,UZB,TRUE
Vatican City,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Vatican_City,VAT,TRUE
Vietnam,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Vietnam,VNM,TRUE
Western Sahara,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Western_Sahara,ESH,TRUE
Yemen,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Yemen,YEM,TRUE
Zambia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Zambia,ZMB,TRUE
Zimbabwe,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Zimbabwe,ZWE,TRUE
Alabama,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alabama,USA-AL,TRUE
Alaska,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alaska,USA-AK,TRUE
Arizona,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Arizona,USA-AZ,TRUE
Arkansas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Arkansas,USA-AR,TRUE
California,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_California,USA-CA,TRUE
Colorado,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Colorado,USA-CO,TRUE
Connecticut,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Connecticut,USA-CT,TRUE
Delaware,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Delaware,USA-DE,TRUE
Florida,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Florida,USA-FL,TRUE
Hawaii,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Hawaii,USA-HI,TRUE
Idaho,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Idaho,USA-ID,TRUE
Illinois,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Illinois,USA-IL,TRUE
Iowa,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iowa,USA-IA,TRUE
Kansas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kansas,USA-KS,TRUE
